1;Inspiron 15 3000;2023-03-15;Dell;8;Intel Core i5-1135G7;Intel;256
2;Ideapad 3;2022-11-10;Lenovo;16;AMD Ryzen 5 5500U;AMD;512
3;MacBook Air M1;2021-06-01;Apple;8;Apple M1;Apple;256
4;Aspire 5;2023-01-18;Acer;32;Intel Core i7-1255U;Intel;512
5;Pavilion 15;2022-09-20;HP;16;AMD Ryzen 7 5700U;AMD;512
6;ROG Zephyrus G14;2023-07-30;Asus;64;AMD Ryzen 9 6900HS;AMD;1000
7;XPS 13;2022-05-25;Dell;16;Intel Core i7-1185G7;Intel;512
8;ThinkPad X1 Carbon;2023-02-12;Lenovo;32;Intel Core i7-1260P;Intel;1000
9;MacBook Pro M2 Max;2023-08-05;Apple;64;Apple M2 Max;Apple;2000
10;Predator Helios 500;2024-01-12;Acer;128;Intel Core i9-13900HX;Intel;4000
